listing_id,year_month,reviews
1596470,2018-10-01,6
1596470,2018-11-01,4
1596470,2018-12-01,4
1596470,2021-03-01,1
1596470,2021-05-01,1
1596470,2022-03-01,1
1596470,2022-06-01,1
1596470,2022-07-01,2
1596470,2022-08-01,2
1596470,2022-09-01,1
1596470,2023-06-01,4
1596470,2023-07-01,3
1596470,2023-08-01,3
1596470,2023-09-01,4
1596470,2023-10-01,5
1596470,2023-11-01,4
1596470,2023-12-01,2
1596470,2024-01-01,1
1596470,2024-02-01,2
1596664,2018-04-01,2
1596664,2018-05-01,1
1596664,2018-06-01,1
1596664,2018-08-01,1
1596664,2018-09-01,2
1596664,2018-10-01,1
1596664,2018-11-01,1
1596664,2018-12-01,1
1596664,2019-04-01,3
1596664,2019-05-01,2
1596664,2019-06-01,3
1596664,2019-07-01,1
1596664,2020-03-01,1
1596664,2021-02-01,1
1596664,2021-05-01,1
1596664,2021-08-01,1
1596664,2022-03-01,1
1596664,2024-07-01,1
1596664,2024-10-01,1
1596664,2025-04-01,1
1644031,2016-02-01,1
1644031,2016-03-01,5
1644031,2016-04-01,5
1644031,2016-05-01,6
1644031,2016-06-01,7
1644031,2016-07-01,8
1644031,2016-08-01,2
1644031,2016-09-01,9
1644031,2016-10-01,11
1644031,2016-11-01,4
1644031,2016-12-01,1
1644031,2017-01-01,1
1644031,2017-03-01,1
1644031,2017-04-01,6
1644031,2017-05-01,7
1644031,2017-06-01,7
1644031,2017-07-01,4
1644031,2017-08-01,6
1644031,2017-09-01,5
1644031,2017-10-01,8
1644031,2017-11-01,5
1644031,2018-01-01,1
1644031,2018-02-01,1
1644031,2018-03-01,4
1644031,2018-04-01,4
1644031,2018-05-01,8
1644031,2018-06-01,9
1644031,2018-08-01,5
1644031,2018-09-01,12
1644031,2018-10-01,9
1644031,2018-11-01,4
1644031,2018-12-01,3
1644031,2019-02-01,3
1644031,2019-03-01,4
1644031,2019-04-01,7
1644031,2019-05-01,6
1644031,2019-06-01,7
1644031,2019-07-01,8
1644031,2019-08-01,13
1644031,2019-09-01,14
1644031,2019-10-01,11
1644031,2019-11-01,3
1644031,2019-12-01,2
1644031,2020-01-01,2
1644031,2020-02-01,5
1644031,2020-03-01,5
1644031,2020-08-01,1
1644031,2021-04-01,1
1644031,2021-05-01,2
1644031,2021-06-01,3
1644031,2021-07-01,9
1644031,2021-08-01,9
1644031,2021-09-01,10
1644031,2021-10-01,12
1644031,2021-11-01,1
1644031,2022-02-01,3
1644031,2022-03-01,3
1644031,2022-04-01,8
1644031,2022-05-01,15
1644031,2022-06-01,9
1644031,2022-07-01,10
1644031,2022-08-01,10
1644031,2022-09-01,12
1644031,2022-10-01,14
1644031,2022-11-01,6
1644031,2022-12-01,3
1644031,2023-01-01,4
1644031,2023-02-01,4
1644031,2023-03-01,8
1644031,2023-04-01,8
1644031,2023-05-01,7
1644031,2023-06-01,12
1644031,2023-07-01,13
1644031,2023-08-01,12
1644031,2023-09-01,11
1644031,2023-10-01,12
1644031,2023-11-01,5
1644031,2023-12-01,1
1644031,2024-01-01,3
1644031,2024-02-01,4
1644031,2024-03-01,6
1644031,2024-04-01,5
1644031,2024-05-01,9
1644031,2024-06-01,8
1644031,2024-07-01,12
1644031,2024-08-01,6
1644031,2024-09-01,11
1644031,2024-10-01,12
1644031,2024-11-01,4
1644031,2025-02-01,3
1644031,2025-03-01,4
1644031,2025-04-01,7
1644031,2025-05-01,9
1644031,2025-06-01,10
1644031,2025-07-01,8
1644031,2025-08-01,7
1644031,2025-09-01,3
1668313,2013-10-01,1
1668313,2014-03-01,1
1668313,2014-04-01,1
1668313,2014-06-01,1
1668313,2014-07-01,2
1668313,2014-09-01,2
1668313,2014-10-01,2
1668313,2014-12-01,1
1668313,2015-08-01,1
1668313,2015-10-01,2
1668313,2015-11-01,1
1668313,2016-06-01,1
1668313,2016-08-01,1
1668313,2016-11-01,1
1668313,2017-06-01,1
1668313,2017-08-01,2
1668313,2017-10-01,2
1668313,2017-11-01,1
1668313,2018-01-01,1
1668313,2018-07-01,1
1668313,2018-08-01,2
1668313,2018-09-01,1
1668313,2018-10-01,5
1668313,2018-11-01,1
1668313,2019-09-01,1
1668313,2020-07-01,1
1668313,2022-02-01,1
1682936,2014-02-01,1
1682936,2014-03-01,1
1682936,2014-04-01,3
1682936,2014-05-01,3
1682936,2014-06-01,3
1682936,2014-07-01,2
1682936,2014-08-01,2
1682936,2014-09-01,3
1682936,2014-10-01,5
1682936,2014-11-01,3
1682936,2014-12-01,1
1682936,2015-02-01,3
1682936,2015-03-01,3
1682936,2015-04-01,4
1682936,2015-05-01,6
1682936,2015-06-01,5
1682936,2015-07-01,7
1682936,2015-08-01,7
1682936,2015-09-01,5
1682936,2015-10-01,1
1682936,2017-04-01,8
1682936,2017-05-01,3
1682936,2017-06-01,3
1682936,2017-07-01,4
1682936,2017-08-01,5
1682936,2017-09-01,5
1682936,2017-10-01,7
1682936,2017-11-01,4
1682936,2018-03-01,2
1682936,2018-04-01,3
1682936,2018-05-01,7
1682936,2018-06-01,1
1682936,2018-07-01,6
1682936,2018-08-01,5
1682936,2018-09-01,5
1682936,2018-10-01,8
1682936,2018-11-01,3
1682936,2019-01-01,1
1682936,2019-03-01,2
1682936,2019-04-01,5
1682936,2019-05-01,6
1682936,2019-06-01,6
1682936,2019-07-01,8
1682936,2019-08-01,8
1682936,2019-09-01,7
1682936,2019-10-01,8
1682936,2019-11-01,3
1682936,2019-12-01,5
1682936,2020-01-01,2
1682936,2020-02-01,4
1682936,2020-03-01,3
1682936,2020-07-01,1
1682936,2020-08-01,4
1682936,2020-09-01,2
1682936,2020-10-01,3
1682936,2020-11-01,3
1682936,2021-10-01,1
1682936,2022-09-01,1
1682936,2022-10-01,1
1682936,2023-06-01,1
1682936,2023-08-01,1
1682936,2023-12-01,1
1682936,2024-05-01,1
1682936,2024-06-01,1
1682936,2025-06-01,1
1682936,2025-08-01,1
1692573,2013-10-01,1
1692573,2014-04-01,3
1692573,2014-05-01,3
1692573,2014-06-01,6
1692573,2014-07-01,6
1692573,2014-08-01,3
1692573,2014-09-01,5
1692573,2014-10-01,3
1692573,2014-11-01,4
1692573,2015-04-01,1
1692573,2015-05-01,4
1692573,2015-06-01,6
1692573,2015-07-01,5
1692573,2015-08-01,2
1692573,2015-09-01,6
1692573,2015-10-01,8
1692573,2015-11-01,3
1692573,2015-12-01,1
1692573,2016-01-01,1
1692573,2016-03-01,4
1692573,2016-04-01,3
1692573,2016-05-01,4
1692573,2016-06-01,3
1692573,2016-07-01,1
1692573,2016-08-01,6
1692573,2016-09-01,8
1692573,2016-10-01,7
1692573,2016-11-01,2
1692573,2017-01-01,1
